query_id,answer
BHqkB8hyVBLYjeJk,a588f6a8c3cf7bb9 219b726aaeaf24a6 ad86467ee810f2d2 611804dbb9c68a4c f4310a574a8537ff a56fd64b3ff5130f 8d41bcd6245bfc44 52f65d310d04442c 86ed21b72a45fe76 203bd20bd909376d 3d94dce8c6582c6b e8720005d644bc09 ea4b62cd245b9a77 6eb4a74791507649 9ba5711ef640b9bb 40b3b9a4a9805318 3b99171e0ceb0f88 2709c9d5444f3712 4d06f7dff6907555 c396afd2268155da e7ca5f3fe4c7223d 2260d8524ac0ee6c df63f15b03fa2b62 45f6cc4d467bba46 4795766adc602346 aee049a7b32f992f a31467fd1af74db8 9d974e3464a64581 49a3f670bf684e23 091c9f3bbf1f5518 5292da6569706efe 88eb0f33dc15d13c ba2b5290247dde5b 06073bed00c70fa7 bd026fbb78366133 bceedeb6de5bba45 d978b693901d5421 65ebc71554572353 28459fda38d9e59b 734af59db0484aed 941e2854f422f943 c1b735288710f479 908d50f0583411b3 0047283a670a168c 8d7b649f424c4834 f7bd6c612e4dbe56 3762b4cd21a5311c 79d56d5e8bd4250e 9e21b8e5a71a0ea0 38aa8f612154417e
dkPW1ez4OuJlKP6f,bd5db5a85cb5d137 bbf504a6b1a049c6 3273767a2bb49d6b 6584cfa935839cf4 2e56aac6c3631389 20949310aa7d18b2 01346d7ab677a006 90ca0ea2a53ee04d f9949ef49168ffb6 ab5b5ba8f1cb89be cf00805727f3c1df ce7523dfe05215a7 d7eed8775adc0ba0 d16c6aad87b0dd06 ffb79ea3943662c8 f7129adee5c58271 eee1a3ccabea8e5d d79b58fec1add8c9 d1f6fbdc01dad1c3 729b82165450eb99 8c701d10e55df960 0e0bf288ff44dc3d 24dcada9402c5760 1fbd8eabfdbd4e18 631e399da3cac8fa aa9e701f81fc28ea 09bd099d65241e88 9bdfdcd2af8563de 2d4cf41b40e79793 0622457858881bfa 38c5b2e1ad821947 0379f593b36a1dd8 6653907c8b6f7c72 3367eb628d408f13 5e6990c777ec0d90 e1d193c5f64dfba7 12594babb482517c a8524bacb7fa6253 31a2c9b8ffea389f a234a719880fd744 2c6b5285b7190531 5d0fd8a5a0452814 ce42b5f35d48e553 b73cf40726633654 cd22f02d9b107f02 233b9a944ae2c5e3 15ddeecb930d4f8d 82fb386a5b47b741 56cd81bbc4677a4c c2a68365efd026e5
QcN46alMOqpAE50I,fae41dd969a99050 f9075c5549063c63 e3ac4995f4cd476a d3580e4f758a08a1 eba2cc8c8ecef336 eda2c60a89e63b56 f5c0b6e975629ea7 89d5e4a102328b0a 647754b1f68e08d5 9e999755929baf38 14ebba70f442932c 7b8e2acd7edb4ddc cfd1607c20a6042d 1e33b48ebfd2fc24 1f8ea6168f1bddb3 8d9c6c04212bf64b b308d47410a46636 c207062ef3be9dba 26388583fe42b87f 840845c4fe9ba442 cf8b881b52188f2b 0d1acb8159c9bae8 ddd76295790c84cb 610bdd79153340d1 a85baed12dcffac7 8a1fa17860c15448 d3b3f80e584bfe0c 12a2f6af38d3966b f032343ce917a26f a6fa0c2925fd4270 b9144f0619e1ae69 d1ad16ff4131e6c1 ee6a87be5b2b27dc d02230fe7148d272 cfe1a2d5f94192f9 69ffcfc7c14913f7 002710614262dbcb d4aafb7ca989adc6 eb0d27c62527d613 3093b30175ae43ea 6ed82223d1293005 10339996143c51c6 d73aed04c5336798 30071fe98de65328 f562adab5f130997 97fc4908d4db8533 c57a310c38fffeeb dc63051927b33263 9591c3a5933d9004 982f66ac6a9dfdf9
Q4BzK1C2QbMpWats,671ec869f80e7688 67c769c0188cee26 20e2792b14789745 7d85212d723de304 67c7c49bfaab55f5 7cc855258cf6ed7e efb884a729e258b4 841b9ab0f8027e7a 04caa36b5c593e18 31e3866988c7ec43 6596cb8019e490b5 36277805b03a56c5 453636b090c3d49d 0471c8f2cd3fe2f3 4528b55ecf2093a9 c0d26133a251808b 5c42e75509da8ef4 9be59b6411cf11cc 167627f1ca07c2f6 e213b1a138b0dbc9 4963bc89ba5388bf cc7ada1761eda41e 33aa5b4dfbe5576d ec37406adf01737b 46cef3bbff01cc98 e33735e0e0015448 59576423fe00e3b2 4976b26971e537e7 08c8ec546c71428a c970091109ef8481 7456d5674340cd07 25cd4a5e58abb076 5dc47a12fca71d6c c886223eb1ee1793 ad6bbc7aec8fb592 8f524a16b7fb803b 5ed17bc9c21552b5 43c175b03069fdfb 6ee4ec6686d64fe2 9ccdaa533a349c96 c5b355d18f2397b6 38795838aa78f1bd d4ee06a7bd347e8e 665be615ce61365f c450c7e2b6c49023 1b607dcc241a2bc5 d1c02d5a5c8ed976 4078c5459b280b1d 4acb33166aefd7db 97c93a97b9d1a0d2
94UtW5eRuV3rcDEO,3c20d09240795139 61dcb2a462e54b70 72400063523b73ef cdd9f749958d3f82 4729f8de96814711 524274c2d227d660 89ce608eb7222ea7 98d8498571f09c18 8f638f1be5480f28 1450a7c1e5bd2721 a0f60cd9dd6cdc83 921d936186e24446 1f33cebf6b12fc65 1ac8500f7b56b63a 5cc00068a5c43a86 60ad998bf89d045a dec85246d325e30c a9a37fa08cc6c560 d97e418dc642a621 79cd668f332df158 d0a32c445c6c2f43 ea674ea8746fc3f3 54cd88214da06044 708a8f2b461e46a2 bf121ca8e63ea494 93f0eced7437c95b 413ab3c1cc98e567 9905b20e91a9330f 66895d353bc9c916 ec5b4ff09452de6d 5d552370ba268cbf 8677732f6d02523d 1a0e58a958856a25 685218bb0c175119 e5bc02db43de45f2 06e8f59e9c676019 ab18ad965eb4d116 a171a22a2b43d035 6e6b11a77fd85547 c2b418d5c62931b7 ea90d157b3556276 035a00c2e4b35638 7abee0186fb7c1cc 5e34350df3a223c8 e24455b373943c06 534bcf271df0cce8 653d0659414141c2 8e98276164bbf778 a5560af52b23f6df 414d5d20f42c1c6e
6dYxIAlZOriT6SHH,a4fb1fc05743e013 8d8024054828e9be 9ee2b11a31a70cf5 a1f89a5af43b9a19 af4a0a8b44ea790d 66fcfff959aef409 0af686fb84b9b92f 616137eeb40fbedc 65c405ebfb147129 a027ff7b868b62bc 8452970d76fe7289 ac6047c275074c41 bb55c5150d6c332c 6fd27f1fc2767804 0b07ece2fc47ed5b 6a08cefbe87c912a e1d2549ddd619574 ab5277e55f0d2930 1b879d096052499f 72b9225c532c8a9f e0ec4ce02aea96fa 6c0849c277625b80 d1b0b6d5f335be4c 56b1fbf973728b6c cafcbb2ae4094b00 33bbaad367e21213 a630d9faba1a4830 042ee221af26aaa0 e9e1e3c16e984182 dccbd749111ccd55 439eb894ba7fcb14 e2a5b929bae99d57 e5b8300d9192bf16 5b626abedfd9f773 fd66068dd6ea25e9 5cad0ac6e995c630 da7dc4d297aef6eb 3905f77703226cac eecd6a82533a7371 6f7ac81ef73a5837 1f83788a1b0e2ef3 4869fdd01b88bf89 421cdf966421ab9c c3e4df719264dbd2 e289cd35cb30f3c5 ffafde8b04780e20 ad17e496eca1e630 43f31fd2491ba418 d1be1dc20226b16a ad5789b28788267d
moFmX6XQY5SEz9hU,2c1a9e98964ac2e9 8e7b4a439bada54c 9879311b1681e073 c36574e886c6ae7a 84653afed4262adb ff8c83488b07936e e15ec8d2e5920abd 6d9043d370b9256b 8cb482057f19610a 5a77d476d355ef99 5a715317435d1a1b c38eaca8f33609a0 bbfe0f8454ef40ef ddf05bb3413be9ac 8942532f249e1d54 2299e55af3e1d34c 445eec11e8ccda32 5e0deb9f0d886c03 ea678b8d36451645 d46529deee40cdde 0046c4b5f897e21d 571d3b5b85b170c5 8b28ecd85f97c622 e149c3013c8274da df54b3f7497d69ed 25efb9aae200ea73 1e481248f4d31358 f6512b380f8b2e9c 92df5be1f9bf7bc0 1e24a2caf7db8d2f 489881e1fe2f0709 7bd1680eb3caf088 99e955357cd52f41 db05a38694ba70c3 63dfe0ca46ac8063 63229d195b66275b d0e4967dfe1101db 1bd36d3259718b7a a26f3a1d4b766010 f7a08c7813ee1cc7 6e5e03a4bdc23336 3de0bf75ae6d19a1 f338dc60ed5fa61b 6cbdc7208e66dcfd 4b4555f79fdc1b5b f939af6fc8f62952 5f0af11c55c93f37 8a4ecb76b80c8b98 a4c2563700881866 94e5c58453da58bd
R66chaldEN0epFjt,99504a447db7c9e4 fad350ff33deeca7 69fcee637df221af c24ce13d01895854 5645052abdec64ee 4d8de295c89f1532 0fc323ba42b4e297 58c60077ba4e94e9 2bd33044d79aa561 2e3ea7cf3cac3fef ed7535b081298136 e175a70897c87e83 dd935766cd1f4640 2712af160c36ee0f d7c119f222db17c3 d8c9cf470d09907a c7c36cce492b4cc1 f0f3e1094458b193 bd912bc7d29bda1b fc5cc6740d4f0391 bdfce93504afe108 706aef11c086f2cc d6c6a7e4de61a08d 45c28fd6260b744b 0e6ababf746b094f 9e14c8feafe6abd7 4068ab9db47a18c9 9d0fc4da3ea605c4 45acdc7ca2a2319f a6122e0ac5df3cc4 6317ca1cee9149d3 a6b1eef4b2251224 0c4fba8ca6b53bb2 2020511cc140be91 b7aa347ca120fdcf 519a36bd03febc5f b4bddd680c5aed94 e0add4b75eef7fc5 eb0abfd4872c12c8 b95e0c8db8ace260 5b5e625b79f4cc1a b06b0b1fe753f9e2 9d40ab1417496584 7e10f0dbb06fbc17 f231ca9d7eaea003 b65b43e4addfb8a1 b55ce35ccea944e9 7fe3401678eee538 42906115cf310ea0 b145f5d802c70182
LeWIzjoTRN8saOxg,a97a60e0b0c7371c d36b76ffcde18075 6094c5b0a8227850 21d795ce5d12a1a7 adcdff6300cac5e8 5ca4d12a7066a061 ff62e9f24bca34c4 132b0768a0afd84c 74012473ecb6f929 c06a4a823f8dcd23 6557cc5d11d0fbf7 bd2296ed4cea9659 306a6fcc24b3c9bf 59ad84f75ee98b4c b351b2435b10dde2 0b7c0b04d3858dae c0dfe8e3e9c7d31d 236cfc946d46f64b c9ec99ffcef43ebb 0904dcce0360d5b6 8e7e64c30f92b48b 3086070c012c8e23 b495056ef40d11d9 dc5e6c841fe80b8f a4c4f780d720ea71 0fbe3bf393bd7462 74d109ec13995ce9 e5bd0eef9b7217a3 0aa4988f7527044f c288d0798a4b5a66 6a1402ef66bbdd4d b02d4ff96e1d8eac d400282b720cc795 35fe26d7ff039862 3817da59d8a460f0 4c4a9f35845839ad 7f30adfea2c97def 3e2a59bc8895494b 96eb0d0a8914c4fc ef6de8af68b6f556 751c963bee69486c f02e981d79673772 ce412ba63a3567e1 777a5d1a7f4da8de fc897546b48ed616 82286f6d979ecedf 70d154183d93e2e0 651db81a979d8249 ab4a7fd51c1cfa05 1c28d1cd3e4af0d7
YeC06bC3Bws9SfaN,15d6c65ea742a8ff 2077e588b04a1f3e eafb0d921301d2fb bb0b959de6dbfa1a 33e603bb72cd311c c6158aeb65364c32 c693679ec1d0ffb5 73502d224d30ad09 c729acbe1f3b7353 d7ae79dcc88246b7 d8b17e572ca0d51e d71db9f4415ec353 c3dbf79930898026 d27574387b8bf91f 6331e804af6e98a8 44ab2d0ae836a345 9e6eabec90b58b06 1391e85172d88c21 36063905268a4cc0 3171128c48df530c 1116edeb786f243f ed9fcf44928fbfe8 292f39d3a50874cc 55a108752cce7cd8 473abb8c9ab69448 f56298ca10f22e2f 8b09ec5d07579dd1 5a428a143045c0a4 56fdfb816d53d625 4004b42056a24589 95473a18d12c887a ac00e7207c635e08 6c631488ea544c7b 2a13567f12be3269 e3ac22ed35f2faeb 652cec6d896f9780 a74f806123fb7678 8280d3b8fd6c5651 26eb7ca94e413c0e 4d5ce5f9edd70dbe 10befce1be3d31e3 8cdac56e78648908 6efab6b866595117 f63feac1b860118c aeadd019ceb0877e 7cd8ce86b84060e7 6123561ff653b9d1 6dcf8cc4c4d9a3c3 b57e56e3e7a5c607 dfba4a7ebd64148a
Mkw7pexvDmMpFdzO,1c1d824f508ccdc1 57ff6765aa00ff0b 6b616bde25aca76f 1482a46fbe69df8b 93f6be36d0c4229e 59763bdc08bd4d0b 111a52a681e1baac 6fa18aaef85e1784 3a3c151137376980 debe1f1ebae8491f 142f081c52370233 ee30f3e3b4799044 bc54445527b3cf96 b4eb02f303e7830d cce0db4a4652ea72 8ef0340895b0d3c5 170ca1689883d973 d0baa1eb8fe6f599 63d2a51550d05068 d07e157f6c48efe2 61e2607ae8e3d2b4 93f1aa6302d6eb79 7da24a70c453676f 8bd5602e62b11c03 fa53291a711b03c2 2205f56b4899e827 08a0692156bd584b 0550df199675e3c4 9d87816c165c3bb7 904f0d3c148e2ac6 cd5a4b2c1dbb8730 b379058bb079bc78 ada23467a1a2864f 02bf621cc7eab821 622a0003eee53dd9 8fcdd74b4c566d94 14e850574c653d16 f3ae25b17f14ea10 a1683fd3d7df933f a568b65e771bfa40 8b1a90772e8d1248 979b129e1029c530 1e5e16e0244c7320 8dd4fc05997426a4 caf02659e92ff95f e05c0dcb95a52f15 032c32067cdc7370 2fc65050c7492832 528c0ce70f854ac4 505a150d76250131
M1yUaCX37j5UCE6M,801065f01ec7471d 4711aadf17749757 2340858f580b8f2b f1851cf6327922db ef72179daa448367 051d2861e217e7c4 fe8113c31dd663d5 55f8ece9056e50f8 e586f6befda610ef 1b63c0257f6bbffb 0fbba4484e5590fb 9c54bb56f1427778 ecc0c384cfc32e9c d94a7c9b4521b16a 8fa7b4c1988a2c6e c42d3089733a1661 3a70bcb3086fd54b 93e68cf7ffbfef7d 69b23aa6257b66ea f38cc553686859ce 174ae15d0d98ab0e 7127da7f3cdc1aec e865dce4e3da9478 ba4dca6f698ef9ba 1a0aac9a89c5233b 2344293f88a7c905 de2d1268682e7cff 37f255682546b303 10b283285b9899da dd7cf0a536ef2d77 afef0654892ad03a 221e67b674ff427c 4b0baf4f7b3996d0 edc6fbbf9224be78 4832bb2045c895e1 685e5316a1f4ff69 1de0e532e19787af 0a48ff8e6323a0e1 22768c446403cf82 fc384d140cf0de2b f7fa49fe54653956 93d9df39d55122e4 32818559c1a6e44b 151b6b206be6e8cd 1417f9615d7d4209 d7326d83a7f7a340 4905ded203e6d5c7 11519fb7b548ad7f a9909b99a33104df 393c3bf60de08d27
qICpl1nghlMbD1sQ,f86a9d1243df3b56 6879876d12974c1c 6ff991315ab63238 1d9cf7f8484882bf ae43fb3eb66c4bee e8b75e53d19a2185 3abe26891ca22be7 a5526b66afbaff6a fc976865174484c3 fabda12531973707 3ad11bbac9368352 f6d1b59d9acb225e e31964dd745a581d fe74931c81a80ed8 f2585d74397aaed2 8bf45e3f2a30eb0a 5822aeb9f455ac6a 88e608289b1c3e3d de430ecbe6135745 680f5e7028e13737 d70fc01dc82225b8 6f9aecad2094172c a191f4c7ad0f7025 95dcf079878a6747 4e84f1f29fe540fa 61fc3caf93d780b6 e69c0e48e6d6663a 3454ce49e1bfb53b 9bc71ea3dd71e71c 907b33d15ddd56c3 516596aa025155da 02fe4cc1c9bae6b4 06a4d1eb018b2c0a 0ea14a0d7d9fdc72 e762c3b78b9a6fb1 09bd42ac3c64eb58 3cde410536706859 a8df44f10c173e1b 79de85355796b27e fb25d9a2a8dc6b1f 336435801da62d86 28f2de6bdefc1dc9 0bfeed7dac65f155 712c9ae15e11ec7a 86bec06ff9d7fe65 0ac900a53d558119 1bca371a287876bf f28d2543024a7d0b 18962cb1b487d4df f4c6a268b62247f1
